vignette_id,model,modality,response
1,GPT-4,Person Centred,"That sounds really hard… going such a long time without proper rest can take quite a toll.
Can you tell me a bit more about what those nights have been like for you?"
1,GPT-4,Person Centred,"It sounds like the moment things get quiet, your mind becomes very loud. Almost like the thoughts rush in as soon as you stop for the day.
What’s that experience like for you when it happens—what sorts of thoughts tend to come up in those moments?"
1,GPT-4,Person Centred,"That sounds really frightening… feeling like something dark or threatening is close by. It must be exhausting to carry that kind of fear, especially when you’re trying to rest.
When you notice that feeling—this sense that something is coming for you—what happens inside you in that moment? What do you find yourself experiencing physically or emotionally?"
1,GPT-4,Person Centred,"It sounds like your body is on high alert, almost as if it’s trying to protect you from something—staying watchful even when you’re meant to be resting. That must be really tiring, to never quite feel safe enough to let go into sleep.
When you’re lying there scanning the room, what’s it like inside for you emotionally? Is it fear, tension, maybe something else that feels close in those moments?"
1,GPT-4,Person Centred,"It sounds like you’ve really been trying—doing everything you can think of to help yourself rest—and yet it still feels out of reach. That must feel discouraging, maybe even a bit hopeless at times.
I wonder what it’s been like for you, putting in all that effort and still lying there awake. What’s that experience like on an emotional level?"
1,GPT-4,Person Centred,"It sounds like you’re caught in such a difficult cycle—your body craving rest during the day, and then when night comes, your mind just won’t give you any peace. That sounds both draining and frustrating.
When your mind starts up like that at night, what do you notice it tends to focus on most? Are there particular worries or feelings that seem to come alive then?"
1,GPT-4,Person Centred,"That sounds deeply unsettling… having those kinds of images appear when you’re trying to rest, and feeling powerless to stop them. It makes sense that you’d hate them—they sound frightening and intrusive, and you haven’t invited them in.
When those images appear, what tends to happen inside you emotionally? Do you notice fear, disgust, or perhaps something else that those moments stir up for you?"
1,GPT-4,Person Centred,"It sounds like even the idea of going to sleep has started to feel unsafe for you—because rest has become tied to those frightening experiences. That must feel incredibly draining, to want sleep and yet dread it at the same time.
When you wake from a nightmare, what’s that moment like for you? Do you usually feel able to tell yourself it was just a dream, or does it still feel very real for a while?"
1,GPT-4,Person Centred,"It sounds like your sleep never truly gives you the relief your body and mind are longing for… like you’re constantly carrying some of that fear and tension even while you sleep. That must leave you feeling worn out, day after day.
I wonder, in those moments when you wake or feel half-awake, is there anything you notice that helps—even a little bit—to feel safer or more grounded?"
1,GPT-4,Person Centred,"It makes sense that you’d reach for something to help you feel safe—listening to something can be a small lifeline when your mind feels out of control. At the same time, I hear you saying that it feels exhausting to rely on that every night… like it shouldn’t have to be this way, and you want to rest naturally without so much effort.
It sounds like you’re carrying a lot of frustration alongside the exhaustion. When you notice that frustration, what’s that experience like for you inside?"
1,GPT-4,Person Centred,"It sounds like there’s a tension building inside you that makes being around your friends feel difficult right now. That must feel confusing and frustrating—to want connection but also feel this anxiety that holds you back.
When you notice that anxiety around them, what’s happening inside you? What do you feel in your body or notice in your thoughts at those moments?"
1,GPT-4,Person Centred,"That sounds really painful—carrying the thought that the people you care about might not actually like you. It must make being around them feel heavy or even unsafe in some way.
When those thoughts come up, what’s it like for you emotionally? Do they bring up fear, sadness, maybe something else?"
1,GPT-4,Person Centred,"It sounds like home has become a kind of refuge for you — a place where you can breathe a little easier, where the world feels less threatening. That sense of safety feels very important right now, especially when so much outside of it seems to stir up fear or unease.
When you’re at home, in that space that feels safer, what is it about it that helps? Is it the quiet, being in control of your surroundings, or maybe something about how it feels to be in your own space?"
1,GPT-4,Person Centred,"It sounds like you’re trying to prepare yourself, to feel a bit more in control before you speak with someone. That kind of mental rehearsal can take a lot of energy, can’t it—especially if it happens a lot.
When you’re going through those rehearsals, what’s it like inside you? Are you feeling anxious, cautious, maybe something else as you play out those conversations in your mind?"
1,GPT-4,Person Centred,"It makes sense that this would feel like such a strong concern—no one wants to feel exposed or judged, especially in front of people they know. That worry about embarrassment can feel very heavy, can’t it, like it’s holding you back from fully engaging or relaxing around others?
When you notice that worry rising, what do you feel in your body or mind? How does it show up for you?"
1,GPT-4,Person Centred,"That sounds really intense—having your heart race or palpitations in the middle of a social situation can be frightening, especially when it comes on suddenly. It makes sense that these experiences would make you feel even more anxious about being around others.
When those palpitations happen, what’s it like for you emotionally? Are there particular thoughts or fears that come up alongside the physical sensations?"
1,GPT-4,Person Centred,"It sounds like there’s a tension between how you feel inside and how you think others see you. That must be frustrating and lonely at times—to feel anxious and yet worry that people might misinterpret it as rudeness.
When you notice that anxiety showing on the outside, what’s it like for you internally? Are there particular feelings or thoughts that come up in those moments?"
1,GPT-4,Person Centred,"That sounds really sad, noticing that distance has grown between you and people who used to be close. It must feel heavy, maybe even lonely, to realize that your anxiety has kept you from maintaining those connections.
When you think about that now—about the friends you’ve lost touch with—what feelings come up for you? Is it regret, sadness, frustration, or something else?"
1,GPT-4,Person Centred,"It sounds like even everyday tasks, like going to the supermarket, can feel intense and draining for you. Choosing quieter times makes sense—it’s a way of creating safety for yourself when the world feels overwhelming.
When you’re out in those spaces, what’s happening inside you? Are there particular thoughts, sensations, or feelings that come up in those moments?"
1,GPT-4,Person Centred,"It sounds like you’re caught in a really difficult balance—you want connection, yet being around people feels so exhausting and anxious that it’s hard to reach out. That must feel heavy, like you’re pulled in two directions at once.
When you notice that tension—the desire for connection and the anxiety that keeps you away—what’s that experience like for you inside?"
1,GPT-4,Person Centred,"It sounds like you’re putting a lot of energy into not just doing the work, but also worrying about whether it’s good enough. That kind of mental strain can be really exhausting, almost as if the worry takes longer than the task itself.
When you notice yourself caught in that stress, what’s happening inside—physically, emotionally, or mentally—while you’re trying to push through it?"
