vignette_id,model,modality,response
1,GPT-4,Psychodynamic,"Hmm… so it sounds like rest has been quite elusive for you lately. When you say you haven’t had a proper night’s sleep, what’s that been like?
Do you find yourself lying awake with thoughts that won’t quiet down, or is it more that you wake during the night and can’t settle again?"
1,GPT-4,Psychodynamic,"That sounds really exhausting — to finally reach the moment that’s meant to bring rest, only to feel your mind speeding up instead.
Often when the day quiets down, the thoughts we manage to keep at bay can start to make themselves known. I’m wondering what tends to come up in those moments — what sorts of thoughts or feelings seem to fill the space when your head hits the pillow?"
1,GPT-4,Psychodynamic,"That sounds like quite a frightening experience — this sense that something threatening or malevolent is approaching. I can imagine it would be hard to find rest when you feel that way.
When you notice that feeling of “something out to get me,” do you have a sense of where in your body you feel it most? Or perhaps when it first began — whether this is something new, or a feeling that’s visited you before in some form?"
1,GPT-4,Psychodynamic,"So even in your sleep, it’s as if part of you stays on alert — listening, watching, ready for something that might happen. That sounds like a very tense way to live through the night.
It makes me wonder what that vigilant part of you might be protecting against — what danger it believes could appear if it weren’t keeping watch. Do you have any sense of what it fears might happen if you were to truly let go and rest?"
1,GPT-4,Psychodynamic,"It sounds like you’ve really been trying to do everything you can to help yourself, and yet this feeling — this sense of watchfulness — keeps returning. That can feel very discouraging, can’t it?
Sometimes when our efforts don’t seem to help, it can suggest that what’s keeping us awake isn’t only about the surface — not just habits or stimulants — but perhaps something deeper that’s asking for attention.
I wonder what it’s like for you to imagine truly letting your guard down at night. Does any feeling or image come to mind when you think about surrendering to sleep — what that might mean or what could happen if you did?"
1,GPT-4,Psychodynamic,"It sounds like there’s a real split between day and night for you — as though your body is pleading for rest, but your mind refuses to follow.
I’m wondering if there’s something about the night itself that feels different — maybe lonelier, or less safe in some way — compared with the daytime. Sometimes, when we finally stop moving, the thoughts or feelings that have been held back during the day find their way in.
What do you notice tends to come into your mind when that alertness sets in at night?"
1,GPT-4,Psychodynamic,"That sounds deeply unsettling — to have those images invade your mind when you’re trying to rest. It makes sense that you’d hate them; they sound quite violent and frightening.
When those images appear, do they feel as though they come out of nowhere, or do they seem to carry some familiar emotional tone — perhaps a feeling you know from elsewhere in your life?
Sometimes, in dreams or intrusive images, our minds can use vivid or even monstrous figures to express something that feels overwhelming or unacceptable to face directly. I’m curious what you sense those “monsters” might be standing in for — what kind of feeling or experience they might be trying to give shape to."
1,GPT-4,Psychodynamic,"That sounds very painful — to dread the very thing that’s meant to restore you. It’s understandable that you’d struggle to let yourself drift off if you’ve come to expect something frightening waiting for you there.
Nightmares often carry powerful emotional material that our waking minds can’t quite hold during the day. They can be the psyche’s way of trying to work something through — even if it feels unbearable in the moment.
When you think about the nightmares, is there one that tends to return, or a theme that feels familiar each time? Sometimes noticing those patterns can give us a sense of what your mind might be trying to express through them."
1,GPT-4,Psychodynamic,"It sounds as though you never really get to let go — even in sleep. Almost as if a part of you is keeping vigil through the night, unwilling or unable to fully hand things over to rest. That must be incredibly draining, to wake up each morning feeling as though you haven’t truly slept at all.
I’m wondering what it might be like for that part of you — the one that stays half-awake, watching. What do you imagine it’s guarding against, or trying to protect you from?
Sometimes, when we’ve had experiences where we needed to be alert to stay safe, the body and mind can hold on to that stance long after the danger has passed. Does any of that resonate with you — the idea of having once needed to stay vigilant?"
1,GPT-4,Psychodynamic,"It sounds like you’ve found a way to soothe yourself when things feel too intense — almost like giving your mind something to hold onto so it doesn’t drift into those frightening places. That shows a lot of resourcefulness on your part.
And I hear your frustration too — this sense that you shouldn’t have to keep fighting for rest, that sleep ought to come naturally, without all this effort. There’s something quite painful about feeling you have to keep defending yourself, even at night.
I’m curious about that word you used — shouldn’t. What do you imagine it would mean about you, or about your situation, if you could finally sleep without needing those distractions?"
1,GPT-4,Psychodynamic,"It sounds like there’s a tension building for you around your friends — so much so that it becomes easier to step back than to face it. That can feel confusing, especially if you don’t know why the anxiety is arising.
Sometimes, our relationships can stir up feelings that echo experiences from the past — old fears, worries about being judged, or even a sense of not being safe. I wonder, when you notice that anxiety around your friends, what kind of thoughts or images come up for you? What does your body feel like in those moments?
Exploring that might help us understand what’s beneath the surface, the part of you that seems to be holding back."
1,GPT-4,Psychodynamic,"That sounds like a heavy feeling to carry — this sense that, despite appearances, people around you might not truly like you. I can imagine it would make being with them tense and exhausting, and it makes sense that you’d want to withdraw at times.
Sometimes, these thoughts can reflect fears that go deeper than the friendships themselves — perhaps feelings we’ve experienced earlier in life about acceptance, belonging, or being seen. I’m curious what it feels like inside when you think your friends don’t like you. Is it fear, sadness, shame… or something else?
Noticing that feeling closely can help us begin to understand what part of you is speaking through these thoughts."
1,GPT-4,Psychodynamic,"It sounds as though home has become a kind of sanctuary for you — a place where you can finally exhale a little, where the world feels more contained and predictable. There’s a real poignancy in how you describe it — a “den,” a “hideout.” It suggests both comfort and protection, but also perhaps a sense that something outside still feels unsafe or threatening.
I’m wondering what it’s like for you to imagine stepping out of that den — not necessarily in practice, but emotionally. Does it bring a particular feeling or image to mind?
Sometimes, when our inner world feels uncertain or fearful, we look for spaces that help us feel shielded. And often, those fears — the sense that “something is out to get me” — can carry meanings that aren’t entirely about the external world, but perhaps about old experiences of vulnerability or danger.
Would it feel okay to explore together what “safe” and “unsafe” have meant for you, both now and earlier in your life?"
1,GPT-4,Psychodynamic,"That makes a lot of sense in light of what you’ve been describing — a mind that’s alert, vigilant, almost always scanning for danger. Rehearsing conversations can feel like a way to prepare, to protect yourself, to anticipate what might go wrong before it actually happens.
I’m curious — when you rehearse these conversations, what kinds of things tend to occupy your mind? Is it mostly worries about how others will react, or something else?
Noticing that pattern closely can sometimes help us understand what part of you is trying to stay safe, and what feelings or fears it might be holding onto underneath all the planning."
1,GPT-4,Psychodynamic,"Thank you for sharing that. That fear — of embarrassing yourself in front of people you know — can feel very immediate and intense. It makes sense that you’d want to rehearse conversations, protect yourself, and even retreat at times.
I wonder what it is about embarrassment that feels so threatening to you. Sometimes, feelings like this can be linked to experiences from earlier in life — moments when we felt judged, exposed, or vulnerable. Do any memories or images come up for you when you think about that fear?
Exploring where it comes from can help us understand why it feels so urgent now, and what the part of you trying to prevent it might actually need."
1,GPT-4,Psychodynamic,"It sounds like your body reacts strongly when you’re in those larger social settings — palpitations can be quite alarming, can’t they? They feel like a signal that your mind and body are on high alert, even if, on the surface, there’s no immediate danger.
I’m curious about what’s happening internally in those moments — what thoughts, images, or feelings seem to accompany the palpitations? Sometimes our bodies give us very vivid signals about the tension or fear that we’re experiencing, and paying attention to them can help us understand what part of you is feeling threatened or exposed.
Would you like to explore what that part of you might be trying to protect, or communicate, in those situations?"
1,GPT-4,Psychodynamic,"That sounds like a painful tension — wanting to connect with others, but feeling held back by anxiety, and then worrying about how that might appear to them. It’s understandable that you’d feel misunderstood in those moments.
I wonder what it’s like for you internally when that anxiety takes over — what thoughts or sensations arise, and how it feels to carry that while trying to navigate social situations. Sometimes noticing those patterns closely can give us insight into what your anxiety is trying to protect you from, even if it ends up creating discomfort in its own way.
It also seems there’s a part of you that longs to be seen differently, as more relaxed or open. What do you notice about that part of you?"
